o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:description,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:isPartOf,dcterms:spatial
3506,http://islam.zmo.de/s/westafrica/item/3506,Event,bibo:Event,frederick.madore@zmo.de,true,5843|5844,,,,"Eid al-Fitr|Aïd el-Fitr","Islamic holiday at the end of Ramadan|Fête musulmane marquant la rupture du jeûne du mois de Ramadan","https://www.wikidata.org/wiki/Q464458 Q464458",,"Aïd es-Seghir|Korité",,
3507,http://islam.zmo.de/s/westafrica/item/3507,Event,bibo:Event,frederick.madore@zmo.de,true,5843|5844,,,,"Eid al-Adha|Aïd al-Adha (Tabaski)","Islamic holiday|Fête musulmane","https://www.wikidata.org/wiki/Q514400 Q514400",,"Tabaski|Aïd el-Kebir",,
3511,http://islam.zmo.de/s/westafrica/item/3511,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Secularism|Laïcité,,"https://www.wikidata.org/wiki/Q216920 Q216920","Colloque national sur les confessions religieuses et laïcité|Forum national sur la laïcité|Projet de loi sur les libertés religieuses",,,
3512,http://islam.zmo.de/s/westafrica/item/3512,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Jihad|Djihad,,"https://www.wikidata.org/wiki/Q44311 Q44311",,,,
3513,http://islam.zmo.de/s/westafrica/item/3513,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Female circumcision|Excision",,"https://www.wikidata.org/wiki/Q1385621 Q1385621",,"Female genital mutilation|Mutilation génitale féminine",,
3514,http://islam.zmo.de/s/westafrica/item/3514,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Sharia|Charia,,"https://www.wikidata.org/wiki/Q482752 Q482752",,"Islamic law|Shariah|Shari'a|Droit islamique",,
3515,http://islam.zmo.de/s/westafrica/item/3515,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Muslim youth|Jeunesse musulmane",,"https://www.wikidata.org/wiki/Q113955881 Q113955881","Forum national de la jeunesse musulmane",,,
3534,http://islam.zmo.de/s/westafrica/item/3534,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Social action|Action sociale",,"https://www.wikidata.org/wiki/Q769620 Q769620",,,,
3535,http://islam.zmo.de/s/westafrica/item/3535,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Abortion|Avortement,,"https://www.wikidata.org/wiki/Q8452 Q8452",,,,
3536,http://islam.zmo.de/s/westafrica/item/3536,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Shia Islam|Chiisme",,"https://www.wikidata.org/wiki/Q9585 Q9585","Association Islamique d'Al Mawadda Burkina Faso",Shiism,,
3537,http://islam.zmo.de/s/westafrica/item/3537,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Citizenship|Citoyenneté,,"https://www.wikidata.org/wiki/Q42138 Q42138",Democracy,,,
3538,http://islam.zmo.de/s/westafrica/item/3538,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Birth control|Contraception",,"https://www.wikidata.org/wiki/Q122224 Q122224",,,,
3539,http://islam.zmo.de/s/westafrica/item/3539,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Corruption,,"https://www.wikidata.org/wiki/Q366 Q366",,,,
3540,http://islam.zmo.de/s/westafrica/item/3540,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Covid-19,,"https://www.wikidata.org/wiki/Q81068910 Q81068910",,,,
3541,http://islam.zmo.de/s/westafrica/item/3541,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Economic development|Développement économique",,"https://www.wikidata.org/wiki/Q4530482 Q4530482",Poverty,,,
3542,http://islam.zmo.de/s/westafrica/item/3542,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Drug|Drogue,,"https://www.wikidata.org/wiki/Q8386 Q8386",Alcoholism,,,
3543,http://islam.zmo.de/s/westafrica/item/3543,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,Ebola,,"https://www.wikidata.org/wiki/Q51993 Q51993",,,,
3544,http://islam.zmo.de/s/westafrica/item/3544,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Islamic banking|Finance islamique",,"https://www.wikidata.org/wiki/Q457753 Q457753",,,,
3545,http://islam.zmo.de/s/westafrica/item/3545,Topic,fabio:AuthorityFile,frederick.madore@zmo.de,true,5844,,,,"Islamic fundamentalism|Fondamentalisme islamique",,"https://www.wikidata.org/wiki/Q1140370 Q1140370",Integrism,,,
